STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/28/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/29/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/1/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/2/20,0.63,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/3/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/4/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/5/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/6/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/7/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/8/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/9/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/10/20,0.52,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/11/20,0.3,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/12/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/13/20,1.87,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/14/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/15/20,0.01,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/16/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/17/20,0.4,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/18/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/19/20,0.14,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/20/20,0.4,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/21/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/22/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/23/20,0.57,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/24/20,0.17,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/25/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/26/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/27/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/28/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/29/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/30/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,3/31/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/1/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/2/20,0.04,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/3/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/4/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/5/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/7/20,2.78,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/8/20,0.74,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/9/20,0.94,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/10/20,0.84,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/11/20,0.2,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/12/20,0.02,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/13/20,0.33,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/14/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/15/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/16/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/17/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/18/20,0.07,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/19/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/20/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/21/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/22/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/23/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/24/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/25/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/26/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/27/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/28/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/29/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,4/30/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,5/1/20,0,0
